"Token","ShortName","Series","CompanyName","TickSize","LotSize","ScripCode","MarketLot","BCastFlag","AVMBuyMargin","AVMSellMargin","ScripID","ScripName","GroupName","NdFlag","NDSDate","NDEDate","SuspStatus","avmflag","SuspensionReason","Suspensiondate","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","MarginPercentage","ExchangeCode"
"532765","USHAGR","C","USHER AGRO LIMITED",1.33,1,"532765",0,0,0,0,"USHERAGRO","USHER AGRO LIMITED","","","","","","","","","","",1.21,10,"INE235G01011",6.17,1.27,229.9,1.27,"","","","USHERAGRO"
"511507","USHFIN","DR","USHAKIRAN FINANCE LTD",28.03,1,"511507",0,0,0,0,"USHAKIRA","USHAKIRAN FINANCE LTD","","","","","","","","","","",25.37,10,"INE697C01011",60.5,26.7,74.1,1.58,"","","","USHAKIRA"
"532016","USHHOU","DR","ESPIRE HOSPITALITY LIMITED",195.45,1,"532016",0,0,0,0,"ESPIRE","ESPIRE HOSPITALITY LIMITED","","","","","","","","","","",130.35,10,"INE176O01011",620,156.05,620,6.32,"","","","ESPIRE"
"590012","USHIN","DR","USHA INTERNATIONAL LTD",0,1,"590012",0,0,0,0,"","USHA INTERNATIONAL LTD","","","","","","","","","","",0,10,"INE717B01019",0,0,650,35.05,"","","",""
"500431","USHIND","DR","USHA (INDIA) LTD",11.39,1,"500431",0,0,0,0,"USHAINDIA","USHA (INDIA) LTD","","","","","","","","","","",10.31,10,"INE068A01019",18.55,6,80,3,"","","","USHAINDIA"
"511736","USHINT","C","USHDEV INTERNATIONAL LTD",1.08,1,"511736",0,0,0,0,"USHDI","USHDEV INTERNATIONAL LTD","","","","","","","","","","",0.98,1,"INE981D01025",2.58,0.91,49.5,0.15,"","","","USHDI"
"513464","USHIRO","DR","USHA IRON & FERRO",99.75,1,"513464",0,0,0,0,"","USHA IRON & FERRO","","","","","","","","","","",90.25,10,"",105.75,62,105.75,20,"","","",""
"500432","USHISP","DR","USHA ISPAT (I) LTD",1.44,1,"500432",0,0,0,0,"USHAISPAT","USHA ISPAT (I) LTD","","","","","","","","","","",0.96,10,"INE150A01015",7,0.75,142.5,0.75,"","","","USHAISPAT"
"517146","USHMA","DR","USHA MARTIN LIMITED",596.1,1,"517146",0,0,0,0,"USHAMART","USHA MARTIN LIMITED","","","","","","","","","","",397.4,1,"INE228A01035",527,337.25,527,2.25,"","","","USHAMART"
"532398","USHMAR","DR","USHA MARTIN EDUCATION & SOLUTI",6.87,1,"532398",0,0,0,0,"UMESLTD","USHA MARTIN EDUCATION & SOLUTI","","","","","","","","","","",5.63,1,"INE240C01028",7.11,3.51,79.9,0.8,"","","","UMESLTD"
