"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"823524","OPTIND","BANKEX","OPTION","27-Aug-2026","64400","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",30,0,30,5,"BANKEX","","","","",0.05,895.1,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6537482,"BANKEX"
"823525","OPTIND","BANKEX","OPTION","27-Aug-2026","66700","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",180,0,30,5,"BANKEX","","","","",0.05,2933.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6537482,"BANKEX"
"823531","OPTIND","BSESEN","OPTION","27-Aug-2026","72100","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",3344.05,8716.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7586780,"SENSEX"
"823536","OPTIND","BSESEN","OPTION","27-Aug-2026","74400","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",100,0,20,5,"BSE SENSEX","","","","",1235.6,6306.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7807996,"SENSEX"
"823541","OPTIND","BSESEN","OPTION","27-Aug-2026","76700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",380,0,20,5,"BSE SENSEX","","","","",0.05,3496.8,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7807996,"SENSEX"
"823552","OPTIND","BSESEN","OPTION","27-Aug-2026","81400","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",962.7,5688.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7586780,"SENSEX"
"823569","OPTIND","BANKEX","OPTION","27-Aug-2026","60700","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",0.05,21.25,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6179659,"BANKEX"
"823574","OPTIND","BSEFOC","OPTION","27-Aug-2026","39500","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",90,0,45,5,"BSE FOCUSED IT INDEX","","","","",63.05,615.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3808320,"FOCIT"
"823585","OPTIND","BSESEN","OPTION","27-Aug-2026","70700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",4724.3,10127.8,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7586780,"SENSEX"
"823609","OPTIND","BSESEN","OPTION","27-Aug-2026","82100","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",100,0,20,5,"BSE SENSEX","","","","",0.05,256.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7807996,"SENSEX"
"823621","OPTIND","BSEFOC","OPTION","27-Aug-2026","33500","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,45,5,"BSE FOCUSED IT INDEX","","","","",3105.7,6064.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3500290,"FOCIT"
"823659","OPTIND","BSESEN","OPTION","27-Aug-2026","80700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",160,0,20,5,"BSE SENSEX","","","","",0.05,651.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7807996,"SENSEX"
"823674","OPTIND","BANKEX","OPTION","27-Aug-2026","58000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",5307.65,9848.25,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6179659,"BANKEX"
"823721","OPTIND","BSESEN","OPTION","27-Aug-2026","76100","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",560,0,20,5,"BSE SENSEX","","","","",0.05,690.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7807996,"SENSEX"
